Plant_ID,Date,Temperature (°C),Humidity (%),TDS Value (ppm),pH Level,Growth Days
31,8/7/2023,33.4,69,513,6.2,5
28,8/5/2023,33.4,74,768,6.2,3
16,8/8/2023,32.3,70,482,6.1,6
65,8/17/2023,25.0,59,485,6.6,15
65,8/31/2023,23.8,51,446,6.0,29
29,8/29/2023,28.7,70,641,6.3,27
60,8/12/2023,23.7,51,511,6.6,10
52,9/2/2023,18.1,75,535,6.3,31
63,8/21/2023,24.0,80,526,6.6,19
24,8/14/2023,30.1,55,676,6.1,12
3,8/31/2023,29.2,69,758,6.2,29
23,8/26/2023,31.4,57,602,6.3,24
34,8/17/2023,29.6,55,720,6.6,15
7,8/9/2023,32.3,64,769,6.1,7
66,8/6/2023,23.8,76,662,6.2,4
55,9/1/2023,24.6,75,592,6.4,30
22,8/15/2023,30.1,52,405,6.3,13
29,9/2/2023,31.7,70,424,6.3,31
31,8/19/2023,30.8,57,566,6.2,17
41,8/5/2023,33.4,66,521,6.7,3
4,8/21/2023,30.2,71,502,6.7,19
7,9/1/2023,31.7,52,583,6.5,30
69,9/16/2023,21.2,70,703,6.1,45
60,8/29/2023,18.8,61,624,6.6,27
40,9/5/2023,32.0,63,731,6.6,34
38,9/5/2023,32.0,51,724,6.7,34
53,8/23/2023,20.8,50,697,6.7,21
36,8/4/2023,33.5,79,799,6.6,2
13,8/28/2023,29.4,60,539,6.1,26
47,8/23/2023,30.8,72,784,6.7,21
61,8/5/2023,18.7,56,556,6.2,3
62,8/14/2023,21.3,55,512,6.7,12
57,8/13/2023,19.1,50,686,6.2,11
55,9/2/2023,18.0,62,465,6.2,31
19,8/25/2023,31.4,67,455,6.7,23
32,8/21/2023,30.2,70,686,6.5,19
6,9/11/2023,31.2,56,549,6.5,40
14,9/6/2023,32.1,66,434,6.3,35
23,9/4/2023,31.7,53,465,6.5,33
7,8/14/2023,30.1,56,676,6.8,12
52,9/8/2023,21.4,55,703,6.2,37
7,8/28/2023,29.4,79,670,6.7,26
34,9/7/2023,31.5,51,537,6.1,36
46,8/10/2023,22.7,80,421,6.5,8
59,8/18/2023,19.6,70,525,6.0,16
33,9/7/2023,31.5,75,559,6.2,36
2,8/23/2023,30.8,69,420,6.5,21
53,8/3/2023,20.0,79,551,6.3,1
20,8/27/2023,30.1,74,415,6.6,25
39,8/27/2023,30.1,74,463,6.0,25
57,8/14/2023,23.1,50,638,6.0,12
44,8/12/2023,30.2,58,576,6.4,10
31,8/22/2023,30.5,77,455,6.3,20
6,8/3/2023,33.4,66,795,6.1,1
11,9/17/2023,32.1,62,589,6.4,46
31,8/11/2023,31.9,51,704,6.3,9
34,9/8/2023,29.8,56,661,6.1,37
42,8/29/2023,28.7,70,767,6.1,27
31,9/2/2023,31.7,80,419,6.6,31
23,8/6/2023,33.4,54,633,6.0,4
19,8/18/2023,30.9,63,790,6.7,16
39,8/28/2023,29.4,76,422,6.7,26
9,8/10/2023,22.7,72,455,6.2,8
36,8/16/2023,29.8,55,508,6.7,14
50,8/24/2023,31.3,73,725,6.6,22
54,8/28/2023,24.4,54,551,6.5,26
56,8/12/2023,19.4,55,769,6.6,10
61,9/16/2023,23.6,73,638,6.0,45
17,8/23/2023,30.8,58,625,6.8,21
3,8/12/2023,30.2,69,473,6.4,10
44,8/3/2023,33.4,73,701,6.6,1
20,8/3/2023,33.4,56,708,6.1,1
20,9/16/2023,31.5,57,759,6.6,45
34,8/3/2023,33.4,50,681,6.5,1
12,8/27/2023,30.1,73,598,6.5,25
28,9/5/2023,32.0,78,789,6.1,34
57,9/13/2023,20.6,65,800,6.7,42
14,9/13/2023,30.4,76,449,6.3,42
28,9/14/2023,29.1,72,772,6.6,43
5,8/3/2023,33.4,67,651,6.3,1
37,8/3/2023,33.4,72,571,6.6,1
36,8/6/2023,33.4,65,665,6.0,4
21,8/23/2023,30.8,76,501,6.7,21
37,9/10/2023,31.1,60,773,6.2,39
70,8/29/2023,21.9,71,638,6.1,27
57,8/16/2023,20.4,71,674,6.7,14
58,8/12/2023,19.9,66,548,6.7,10
29,8/4/2023,33.5,58,566,6.3,2
49,8/23/2023,30.8,50,453,6.2,21
14,8/15/2023,30.1,69,501,6.1,13
34,8/31/2023,29.2,55,484,6.3,29
4,8/17/2023,29.6,59,571,6.0,15
33,8/7/2023,33.4,74,464,6.5,5
51,8/13/2023,30.1,76,739,6.6,11
17,8/3/2023,33.4,58,631,6.6,1
34,8/24/2023,31.3,51,551,6.6,22
63,9/7/2023,20.6,77,537,6.4,36
64,9/4/2023,18.7,50,588,6.2,33
1,8/26/2023,31.4,61,719,6.4,24
42,8/26/2023,31.4,65,674,6.7,24
4,8/24/2023,31.3,73,418,6.7,22
19,9/12/2023,31.2,67,449,6.0,41
20,9/8/2023,29.8,51,591,6.6,37
36,9/6/2023,32.1,71,570,6.2,35
28,8/6/2023,33.4,75,607,6.5,4
70,9/1/2023,20.2,60,490,6.5,30
10,9/3/2023,31.7,71,623,6.1,32
69,8/27/2023,22.9,77,727,6.7,25
17,8/26/2023,31.4,70,416,6.6,24
21,8/15/2023,30.1,76,660,6.2,13
70,8/18/2023,19.4,51,423,6.4,16
50,8/16/2023,29.8,50,480,6.7,14
7,9/8/2023,29.8,54,645,6.4,37
12,9/15/2023,30.6,71,538,6.4,44
47,9/9/2023,20.1,79,795,6.4,38
70,8/5/2023,19.0,68,454,6.2,3
7,9/3/2023,31.7,71,781,6.6,32
7,8/15/2023,30.1,52,780,6.5,13
16,8/12/2023,30.2,68,454,6.4,10
7,9/5/2023,32.0,78,466,6.6,34
55,8/17/2023,22.2,69,455,6.2,15
17,8/21/2023,30.2,57,736,6.3,19
59,8/23/2023,22.8,73,500,6.2,21
31,9/16/2023,31.5,69,670,6.1,45
38,9/9/2023,20.1,58,634,6.8,38
32,9/2/2023,31.7,72,455,6.7,31
20,9/14/2023,29.1,51,570,6.3,43
2,9/13/2023,30.4,75,473,6.6,42
62,8/12/2023,22.0,54,431,6.1,10
33,8/5/2023,33.4,51,424,6.5,3
59,8/13/2023,24.1,76,612,6.7,11
22,8/17/2023,29.6,65,651,6.7,15
1,8/16/2023,29.8,56,688,6.4,14
20,8/10/2023,22.7,57,648,6.4,8
18,9/4/2023,31.7,68,442,6.6,33
61,8/11/2023,22.3,78,452,6.4,9
12,8/12/2023,30.2,51,711,6.0,10
57,8/18/2023,21.6,52,699,6.3,16
9,9/14/2023,29.1,67,516,6.3,43
35,8/7/2023,33.4,64,546,6.6,5
30,8/23/2023,30.8,61,479,6.8,21
53,9/15/2023,24.5,75,519,6.2,44
63,9/8/2023,22.4,69,708,6.0,37
57,9/14/2023,18.2,61,431,6.4,43
59,8/16/2023,23.3,56,759,6.1,14
36,8/24/2023,31.3,67,570,6.5,22
9,8/18/2023,30.9,79,569,6.4,16
60,8/9/2023,19.0,74,425,6.4,7
52,8/14/2023,24.9,70,797,6.0,12
32,9/6/2023,32.1,77,596,6.5,35
68,8/29/2023,24.4,64,616,6.4,27
43,8/17/2023,29.6,53,587,6.3,15
46,9/8/2023,29.8,65,631,6.5,37
34,9/12/2023,31.2,51,546,6.1,41
13,8/5/2023,33.4,71,789,6.2,3
5,9/9/2023,20.1,54,661,6.3,38
47,8/27/2023,30.1,75,461,6.5,25
25,8/7/2023,33.4,53,781,6.2,5
70,8/15/2023,21.7,77,479,6.1,13
1,8/11/2023,31.9,69,662,6.1,9
37,9/12/2023,31.2,51,622,6.6,41
7,9/13/2023,30.4,52,777,6.6,42
30,8/14/2023,30.1,72,567,6.6,12
10,8/17/2023,29.6,73,419,6.2,15
70,8/31/2023,23.6,58,404,6.1,29
3,8/18/2023,30.9,58,643,6.4,16
35,8/28/2023,29.4,72,740,6.3,26
4,8/8/2023,32.3,59,442,6.7,6
3,9/3/2023,31.7,69,439,6.3,32
56,8/20/2023,23.2,64,585,6.5,18
67,9/11/2023,19.6,72,509,6.7,40
27,8/10/2023,22.7,77,723,6.6,8
47,8/16/2023,29.8,62,656,6.7,14
61,9/3/2023,21.0,53,511,6.6,32
56,8/4/2023,20.1,53,524,6.7,2
3,8/28/2023,29.4,75,535,6.1,26
42,8/23/2023,30.8,61,448,6.8,21
35,8/27/2023,30.1,73,800,6.3,25
52,8/15/2023,19.1,55,441,6.1,13
66,8/18/2023,19.2,52,550,6.7,16
69,9/8/2023,19.6,77,622,6.8,37
40,9/13/2023,30.4,76,544,6.5,42
45,9/8/2023,29.8,54,665,6.1,37
15,9/4/2023,31.7,72,415,6.8,33
67,8/8/2023,20.4,50,469,6.4,6
65,8/20/2023,22.2,71,505,6.6,18
38,9/11/2023,31.2,61,696,6.1,40
13,9/13/2023,30.4,65,415,6.1,42
36,8/3/2023,33.4,68,744,6.4,1
20,8/25/2023,31.4,76,796,6.8,23
69,8/4/2023,21.5,69,749,6.3,2
41,8/9/2023,32.3,64,429,6.6,7
52,8/22/2023,18.4,66,747,6.7,20
5,8/31/2023,29.2,54,410,6.6,29
18,8/5/2023,33.4,61,440,6.3,3
51,8/22/2023,30.5,54,782,6.6,20
65,8/4/2023,24.2,74,492,6.8,2
18,8/27/2023,30.1,69,757,6.8,25
58,9/13/2023,23.4,70,403,6.2,42
70,9/12/2023,22.6,58,799,6.3,41
39,8/7/2023,33.4,80,642,6.7,5
54,8/25/2023,19.7,54,705,6.5,23
63,8/10/2023,20.8,70,782,6.7,8
51,9/3/2023,31.7,62,633,6.7,32
64,8/17/2023,25.0,76,766,6.4,15
30,8/29/2023,28.7,71,549,6.7,27
6,9/15/2023,30.6,61,741,6.3,44
2,8/29/2023,28.7,57,508,6.2,27
51,8/27/2023,30.1,65,762,6.6,25
24,9/12/2023,30.4,69,490,6.0,41
9,8/30/2023,29.1,73,684,6.7,28
13,9/5/2023,32.0,71,744,6.2,34
39,8/8/2023,32.3,68,791,6.3,6
48,8/14/2023,30.1,70,489,6.0,12
48,8/20/2023,30.9,71,481,6.2,18
11,9/14/2023,29.1,55,660,6.3,43
48,9/2/2023,31.7,65,710,6.4,31
53,8/6/2023,18.2,70,561,6.4,4
70,8/27/2023,21.5,78,621,6.7,25
64,9/16/2023,18.8,51,476,6.5,45
67,8/17/2023,22.3,59,478,6.7,15
28,9/4/2023,31.7,70,689,6.5,33
62,9/11/2023,23.0,54,410,6.7,40
44,8/23/2023,30.8,57,703,6.4,21
5,8/23/2023,30.8,61,460,6.2,21
17,8/5/2023,33.4,77,491,6.4,3
39,8/4/2023,33.5,73,449,6.7,2
12,8/24/2023,31.3,71,485,6.0,22
35,8/19/2023,30.8,63,565,6.3,17
20,9/4/2023,31.7,68,611,6.2,33
9,8/13/2023,30.1,80,791,6.4,11
44,8/6/2023,33.4,51,681,6.5,4
63,8/30/2023,19.2,65,739,6.2,28
58,9/8/2023,20.0,77,581,6.3,37
9,8/22/2023,30.5,71,464,6.3,20
5,8/16/2023,29.8,78,624,6.3,14
24,8/6/2023,33.4,72,606,6.8,4
13,9/12/2023,31.2,51,724,6.3,41
12,8/17/2023,29.6,70,497,6.3,15
63,8/17/2023,18.3,65,458,6.3,15
48,9/11/2023,31.2,70,520,6.2,40
10,8/19/2023,30.8,50,493,6.0,17
24,9/8/2023,20.1,75,485,6.4,37
5,8/25/2023,31.4,53,646,6.2,23
11,9/5/2023,32.0,63,539,6.6,34
48,9/17/2023,29.4,55,554,6.6,46
68,9/14/2023,20.6,57,494,6.6,43
18,8/19/2023,30.8,80,489,6.2,17
59,8/12/2023,18.9,71,768,6.4,10
27,8/7/2023,33.4,67,480,6.1,5
27,8/6/2023,33.4,67,699,6.6,4
61,9/6/2023,21.3,75,525,6.7,35
45,9/14/2023,29.1,73,704,6.6,43
53,8/15/2023,22.3,60,745,6.4,13
32,8/6/2023,33.4,72,779,6.2,4
33,8/27/2023,30.1,66,665,6.2,25
2,9/10/2023,31.1,70,428,6.7,39
56,8/18/2023,23.4,58,578,6.6,16
53,8/9/2023,21.6,50,670,6.6,7
1,8/23/2023,30.8,57,669,6.2,21
56,9/14/2023,22.5,62,439,6.1,43
39,8/11/2023,31.9,56,438,6.2,9
63,8/16/2023,19.9,62,410,6.7,14
31,9/15/2023,30.6,66,420,6.4,44
49,8/4/2023,33.5,80,570,6.8,2
70,9/7/2023,24.5,79,549,6.5,36
63,9/11/2023,18.9,56,657,6.7,40
47,9/5/2023,32.0,61,613,6.2,34
22,8/20/2023,30.9,76,749,6.7,18
66,8/10/2023,23.8,70,461,6.0,8
20,8/20/2023,30.9,57,621,6.7,18
25,8/9/2023,32.3,66,567,6.2,7
4,8/22/2023,30.5,58,631,6.1,20
54,8/18/2023,24.2,74,728,6.1,16
20,8/23/2023,30.8,66,770,6.1,21
70,9/16/2023,24.6,79,621,6.0,45
40,9/8/2023,29.8,78,591,6.2,37
34,8/18/2023,30.9,64,514,6.8,16
58,9/11/2023,21.7,51,720,6.6,40
64,9/1/2023,18.6,80,443,6.8,30
60,8/11/2023,19.4,76,744,6.1,9
64,9/9/2023,20.8,59,742,6.2,38
37,9/7/2023,31.5,62,670,6.3,36
33,8/4/2023,33.5,67,453,6.2,2
34,8/11/2023,31.9,55,597,6.5,9
62,9/10/2023,18.2,54,507,6.4,39
11,8/3/2023,33.4,57,695,6.1,1
47,8/12/2023,30.2,52,539,6.3,10
2,9/5/2023,32.0,63,569,6.4,34
68,9/16/2023,21.2,63,777,6.7,45
24,8/12/2023,30.1,58,661,6.0,10
20,9/12/2023,31.2,51,588,6.6,41
60,9/1/2023,20.5,57,424,6.7,30
52,9/11/2023,22.6,71,626,6.6,40
63,9/14/2023,22.1,65,723,6.5,43
9,8/16/2023,29.8,66,613,6.3,14
21,9/8/2023,29.8,64,550,6.2,37
53,9/16/2023,19.3,78,687,6.1,45
48,8/8/2023,32.3,66,754,6.1,6
16,9/2/2023,31.7,67,793,6.5,31
69,9/2/2023,20.0,63,418,6.6,31
16,8/4/2023,33.5,64,794,6.1,2
60,9/12/2023,23.6,55,459,6.7,41
29,8/24/2023,31.3,66,405,6.2,22
7,9/2/2023,31.7,67,696,6.7,31
5,8/27/2023,30.1,52,468,6.7,25
38,9/13/2023,30.4,66,748,6.3,42
53,8/4/2023,19.1,80,702,6.7,2
70,8/23/2023,24.9,54,407,6.7,21
39,8/25/2023,31.4,80,670,6.4,23
20,8/22/2023,30.5,69,596,6.0,20
45,8/4/2023,33.5,63,648,6.5,2
21,8/9/2023,32.3,72,727,6.4,7
42,8/31/2023,29.2,67,649,6.4,29
47,9/14/2023,29.1,65,462,6.0,43
5,8/9/2023,32.3,74,558,6.7,7
44,8/29/2023,28.7,65,728,6.6,27
48,9/7/2023,31.5,61,577,6.1,36
28,9/10/2023,31.1,50,534,6.3,39
11,8/28/2023,29.4,52,589,6.1,26
21,8/7/2023,33.4,52,726,6.4,5
61,9/2/2023,24.8,53,701,6.1,31
7,8/5/2023,33.4,51,507,6.1,3
22,9/4/2023,31.7,59,533,6.7,33
55,8/7/2023,19.2,53,565,6.2,5
28,8/21/2023,30.2,75,643,6.6,19
41,8/30/2023,29.1,77,586,6.4,28
13,8/24/2023,31.3,55,490,6.8,22
32,8/31/2023,29.2,52,799,6.3,29
22,9/9/2023,20.1,62,560,6.8,38
66,8/15/2023,20.0,60,515,6.1,13
69,8/24/2023,22.5,54,428,6.7,22
13,9/7/2023,31.5,52,724,6.8,36
69,8/30/2023,21.1,78,508,6.2,28
40,8/19/2023,30.8,52,509,6.5,17
70,9/10/2023,24.6,67,407,6.1,39
30,9/4/2023,31.7,62,468,6.1,33
23,8/9/2023,32.3,68,514,6.5,7
15,9/6/2023,32.1,75,427,6.3,35
43,8/14/2023,30.1,52,466,6.3,12
19,9/6/2023,32.1,52,497,6.1,35
10,9/6/2023,32.1,72,469,6.3,35
36,8/25/2023,31.4,59,548,6.6,23
42,9/1/2023,31.7,51,490,6.7,30
60,8/28/2023,18.8,58,408,6.7,26
53,9/14/2023,24.6,76,625,6.1,43
63,8/23/2023,19.9,80,784,6.2,21
57,8/21/2023,20.3,79,578,6.3,19
50,8/11/2023,31.9,69,440,6.3,9
69,9/6/2023,19.7,50,773,6.5,35
59,8/8/2023,20.5,65,412,6.2,6
28,8/23/2023,30.8,59,788,6.6,21
7,8/22/2023,30.5,71,503,6.2,20
35,8/8/2023,32.3,56,619,6.4,6
13,9/10/2023,31.1,50,653,6.6,39
29,8/12/2023,30.2,50,542,6.6,10
36,8/28/2023,29.4,52,552,6.2,26
53,8/14/2023,24.4,72,527,6.4,12
70,9/13/2023,19.4,72,475,6.1,42
52,8/3/2023,18.6,53,547,6.6,1
36,9/1/2023,31.7,51,705,6.5,30
53,9/8/2023,20.1,71,512,6.5,37
32,8/13/2023,30.1,69,441,6.7,11
10,8/15/2023,30.1,74,701,6.6,13
12,9/1/2023,31.7,75,467,6.4,30
24,8/10/2023,31.9,72,441,6.6,8
54,8/5/2023,21.2,78,580,6.4,3
59,8/24/2023,24.2,58,599,6.4,22
42,8/17/2023,29.6,58,422,6.3,15
3,9/14/2023,29.1,73,747,6.1,43
1,8/9/2023,32.3,75,682,6.0,7
67,9/13/2023,23.6,66,608,6.3,42
10,8/11/2023,31.9,67,512,6.4,9
65,8/29/2023,24.2,67,640,6.4,27
48,9/8/2023,29.8,60,760,6.2,37
43,8/25/2023,31.4,73,441,6.4,23
31,8/9/2023,32.3,72,641,6.6,7
13,8/9/2023,32.3,72,459,6.1,7
48,9/12/2023,31.2,63,664,6.1,41
38,8/10/2023,22.7,77,455,6.7,8
63,8/27/2023,18.1,65,680,6.4,25
38,9/15/2023,30.6,68,748,6.3,44
13,8/23/2023,30.8,68,667,6.5,21
8,9/2/2023,31.7,54,458,6.6,31
3,8/4/2023,33.5,63,632,6.1,2
50,9/5/2023,32.0,56,794,6.1,34
66,9/12/2023,20.4,65,779,6.3,41
26,9/5/2023,32.0,73,459,6.2,34
59,8/10/2023,18.5,65,620,6.1,8
29,8/16/2023,29.8,64,706,6.2,14
43,8/26/2023,31.4,53,723,6.6,24
37,9/2/2023,31.7,60,575,6.4,31
70,8/7/2023,20.0,51,766,6.3,5
36,8/7/2023,33.4,74,796,6.4,5
64,9/6/2023,23.5,58,655,6.1,35
16,8/15/2023,30.1,67,454,6.7,13
59,8/26/2023,21.9,57,791,6.1,24
8,8/29/2023,28.7,78,779,6.5,27
40,8/6/2023,33.4,77,449,6.1,4
55,9/12/2023,24.8,73,479,6.4,41
67,8/21/2023,21.4,56,759,6.6,19
64,9/12/2023,18.6,75,548,6.5,41
26,8/3/2023,33.4,54,458,6.3,1
45,9/9/2023,20.1,77,681,6.2,38
37,8/15/2023,30.1,56,721,6.0,13
67,8/12/2023,23.9,74,781,6.7,10
66,9/10/2023,19.9,54,775,6.3,39
30,8/25/2023,31.4,50,544,6.7,23
59,8/9/2023,18.3,61,512,6.3,7
10,9/12/2023,31.2,58,794,6.6,41
21,8/5/2023,33.4,80,516,6.5,3
48,8/16/2023,29.8,78,604,6.1,14
27,8/20/2023,30.9,54,520,6.6,18
29,8/5/2023,33.4,66,526,6.2,3
63,9/3/2023,22.2,75,455,6.3,32
1,9/9/2023,20.1,61,621,6.5,38
22,8/21/2023,30.2,55,678,6.0,19
65,9/3/2023,18.6,59,767,6.7,32
22,8/30/2023,29.1,66,665,6.5,28
50,8/29/2023,28.7,50,791,6.8,27
48,8/10/2023,22.7,60,571,6.7,8
32,8/14/2023,30.1,80,486,6.5,12
29,8/15/2023,30.1,77,688,6.2,13
42,8/5/2023,33.4,73,669,6.6,3
1,9/11/2023,31.2,79,672,6.3,40
33,9/6/2023,32.1,67,741,6.3,35
45,8/27/2023,30.1,64,587,6.5,25
4,9/4/2023,31.7,71,485,6.2,33
30,9/10/2023,31.1,78,458,6.5,39
17,8/9/2023,32.3,71,552,6.5,7
39,9/10/2023,31.1,53,697,6.2,39
64,8/4/2023,18.3,70,581,6.5,2
35,8/25/2023,31.4,76,400,6.3,23
49,8/10/2023,22.7,72,676,6.7,8
14,9/11/2023,31.2,73,465,6.4,40
62,9/9/2023,22.7,72,656,6.1,38
47,8/25/2023,31.4,69,593,6.6,23
37,8/11/2023,31.9,62,489,6.5,9
29,8/21/2023,30.2,65,562,6.7,19
55,9/3/2023,20.6,55,766,6.3,32
31,8/21/2023,30.2,72,516,6.7,19
13,9/1/2023,31.7,77,425,6.8,30
8,8/9/2023,32.3,59,434,6.4,7
57,9/1/2023,23.3,51,494,6.0,30
20,8/29/2023,28.7,53,727,6.4,27
26,8/9/2023,32.3,77,513,6.5,7
18,8/7/2023,33.4,51,798,6.6,5
4,8/25/2023,31.4,63,740,6.1,23
39,9/4/2023,31.7,69,547,6.7,33
51,8/31/2023,29.2,66,418,6.4,29
55,8/21/2023,22.0,50,625,6.1,19
2,8/19/2023,30.8,56,430,6.5,17
19,8/31/2023,29.2,72,789,6.1,29
50,9/13/2023,30.4,67,798,6.7,42
68,8/25/2023,20.9,73,648,6.2,23
59,8/4/2023,24.0,62,643,6.5,2
36,8/12/2023,30.2,72,643,6.0,10
23,9/14/2023,29.1,65,602,6.7,43
68,8/28/2023,20.4,55,752,6.7,26
35,8/5/2023,33.4,68,613,6.1,3
47,9/4/2023,31.7,59,516,6.2,33
41,8/22/2023,30.5,53,762,6.3,20
24,8/26/2023,30.1,74,691,6.5,24
2,8/11/2023,31.9,73,564,6.1,9
58,8/4/2023,22.3,54,511,6.6,2
6,8/31/2023,29.2,59,626,6.6,29
12,8/3/2023,33.4,77,611,6.2,1
17,8/24/2023,31.3,65,765,6.5,22
59,8/11/2023,23.5,79,641,6.4,9
5,9/4/2023,31.7,66,422,6.5,33
19,8/6/2023,33.4,80,405,6.8,4
47,8/31/2023,29.2,57,412,6.2,29
70,9/15/2023,22.5,62,476,6.6,44
54,8/15/2023,24.3,64,728,6.8,13
31,8/30/2023,29.1,78,688,6.7,28
59,8/22/2023,22.8,64,798,6.2,20
28,9/11/2023,31.2,69,531,6.1,40
58,8/28/2023,19.3,55,642,6.8,26
48,8/23/2023,30.8,72,406,6.5,21
36,8/14/2023,30.1,65,639,6.6,12
49,8/3/2023,33.4,70,621,6.7,1
36,8/23/2023,30.8,67,620,6.2,21
54,9/3/2023,24.3,61,557,6.5,32
17,9/12/2023,31.2,61,482,6.6,41
66,8/23/2023,21.3,65,642,6.6,21
45,8/25/2023,31.4,77,463,6.3,23
63,9/2/2023,24.6,78,457,6.8,31
24,9/10/2023,31.2,51,624,6.4,39
50,9/9/2023,20.1,76,415,6.5,38
39,8/20/2023,30.9,66,708,6.2,18
30,8/11/2023,31.9,63,453,6.6,9
50,9/2/2023,31.7,50,626,6.6,31
39,9/15/2023,30.6,64,633,6.1,44
43,9/7/2023,31.5,50,666,6.0,36
42,8/7/2023,33.4,53,586,6.7,5
31,9/13/2023,30.4,79,790,6.7,42
49,8/12/2023,30.2,71,608,6.7,10
47,8/5/2023,33.4,78,695,6.7,3
43,9/8/2023,29.8,50,753,6.1,37
26,8/29/2023,28.7,66,413,6.2,27
22,8/10/2023,22.7,50,783,6.1,8
68,9/4/2023,19.1,75,525,6.5,33
57,8/29/2023,24.8,66,796,6.1,27
9,9/3/2023,31.7,55,490,6.4,32
13,9/6/2023,32.1,64,416,6.6,35
21,9/9/2023,20.1,70,470,6.4,38
16,8/22/2023,30.5,80,515,6.8,20
10,8/21/2023,30.2,77,778,6.2,19
38,8/14/2023,30.1,69,782,6.6,12
7,8/20/2023,30.9,77,730,6.4,18
4,8/11/2023,31.9,69,785,6.7,9
8,8/4/2023,33.5,77,457,6.3,2
61,8/23/2023,23.0,66,541,6.3,21
50,8/22/2023,30.5,71,423,6.3,20
26,8/31/2023,29.2,69,614,6.2,29
33,8/3/2023,33.4,65,575,6.8,1
1,8/5/2023,33.4,59,678,6.4,3
38,9/7/2023,31.5,77,581,6.7,36
13,8/29/2023,28.7,57,475,6.5,27
54,9/11/2023,23.7,51,636,6.7,40
8,8/20/2023,30.9,76,781,6.5,18
45,8/22/2023,30.5,54,477,6.2,20
40,9/2/2023,31.7,71,797,6.4,31
21,8/17/2023,29.6,71,514,6.7,15
6,9/7/2023,31.5,56,701,6.0,36
9,8/12/2023,30.2,74,563,6.8,10
55,9/11/2023,23.2,75,748,6.1,40
33,8/14/2023,30.1,79,615,6.5,12
6,9/13/2023,30.4,68,491,6.6,42
16,8/14/2023,30.1,67,737,6.4,12
70,8/21/2023,24.6,62,634,6.7,19
6,8/17/2023,29.6,50,437,6.6,15
66,9/3/2023,21.5,74,423,6.5,32
11,8/21/2023,30.2,75,602,6.2,19
43,8/16/2023,29.8,68,547,6.3,14
59,8/17/2023,19.9,59,446,6.5,15
18,9/9/2023,20.1,77,404,6.4,38
42,9/11/2023,31.2,54,720,6.2,40
64,8/7/2023,22.7,73,651,6.3,5
60,8/14/2023,21.2,57,754,6.1,12
66,8/4/2023,23.4,68,563,6.6,2
69,9/13/2023,23.3,61,687,6.3,42
26,8/30/2023,29.1,50,578,6.5,28
51,9/11/2023,31.2,71,571,6.5,40
6,8/23/2023,30.8,54,474,6.7,21
10,8/3/2023,33.4,66,503,6.5,1
12,9/12/2023,31.2,64,438,6.0,41
27,8/14/2023,30.1,60,653,6.6,12
17,8/10/2023,22.7,67,744,6.3,8
7,9/7/2023,31.5,54,749,6.8,36
43,8/10/2023,22.7,55,769,6.2,8
20,8/30/2023,29.1,50,494,6.2,28
25,9/11/2023,31.2,77,680,6.6,40
32,9/14/2023,29.1,64,782,6.8,43
68,9/9/2023,24.2,71,707,6.3,38
1,8/18/2023,30.9,70,742,6.1,16
47,9/13/2023,30.4,61,650,6.1,42
16,9/8/2023,29.8,69,403,6.7,37
32,8/16/2023,29.8,68,571,6.1,14
62,8/25/2023,24.0,59,526,6.6,23
22,8/28/2023,29.4,73,745,6.4,26
50,8/17/2023,29.6,66,555,6.5,15
34,9/14/2023,29.1,58,420,6.3,43
60,8/7/2023,20.1,77,761,6.3,5
35,8/11/2023,31.9,68,561,6.3,9
57,8/28/2023,18.8,55,542,6.2,26
8,9/13/2023,30.4,78,472,6.2,42
22,8/29/2023,28.7,57,751,6.4,27
4,9/17/2023,31.3,71,652,6.8,46
22,9/1/2023,31.7,77,783,6.2,30
48,8/24/2023,31.3,53,684,6.5,22
27,8/15/2023,30.1,50,466,6.6,13
66,8/30/2023,19.8,56,703,6.0,28
42,9/9/2023,20.1,73,424,6.6,38
25,9/1/2023,31.7,75,565,6.6,30
5,8/5/2023,33.4,54,449,6.1,3
14,8/27/2023,30.1,55,743,6.4,25
55,9/15/2023,18.9,53,629,6.1,44
26,9/10/2023,31.1,58,496,6.4,39
27,8/3/2023,33.4,76,411,6.7,1
56,9/2/2023,23.9,78,672,6.0,31
52,8/28/2023,23.6,55,576,6.6,26
14,8/22/2023,30.5,56,651,6.5,20
34,8/19/2023,30.8,80,763,6.1,17
33,8/17/2023,29.6,60,456,6.7,15
9,9/6/2023,32.1,70,561,6.7,35
22,9/10/2023,31.1,50,782,6.8,39
21,8/26/2023,31.4,73,553,6.6,24
9,8/7/2023,33.4,79,731,6.3,5
62,9/3/2023,25.0,75,783,6.5,32
51,9/6/2023,32.1,54,421,6.6,35
13,9/15/2023,30.6,57,475,6.1,44
54,8/12/2023,24.2,66,416,6.6,10
16,9/13/2023,30.4,68,701,6.7,42
19,8/8/2023,32.3,63,651,6.5,6
55,8/25/2023,19.6,76,665,6.1,23
16,8/5/2023,33.4,71,533,6.8,3
52,9/12/2023,21.5,76,796,6.8,41
3,9/18/2023,29.7,72,549,6.6,47
58,8/11/2023,18.8,76,672,6.7,9
14,9/5/2023,32.0,75,683,6.7,34
8,8/15/2023,30.1,59,727,6.2,13
40,9/10/2023,31.1,51,768,6.4,39
9,8/26/2023,31.4,69,721,6.1,24
55,8/6/2023,24.5,50,674,6.4,4
25,8/20/2023,30.9,70,637,6.3,18
